,Word,Rating,Category,Count,Total,Corpus,RelativeFrequency,Probabilities
90,21st/a,1,-0.5,0,699695,OpenTable,0,0
91,21st/a,2,-0.25,7,2507147,OpenTable,2.79E-06,0.239900307
92,21st/a,3,0,1,4207700,OpenTable,2.38E-07,0.020420567
93,21st/a,4,0.25,19,7789649,OpenTable,2.44E-06,0.209579246
94,21st/a,5,0.5,51,8266564,OpenTable,6.17E-06,0.53009988
95,22nd/a,1,-0.5,0,699695,OpenTable,0,0
96,22nd/a,2,-0.25,4,2507147,OpenTable,1.60E-06,0.134688453
97,22nd/a,3,0,7,4207700,OpenTable,1.66E-06,0.140444082
98,22nd/a,4,0.25,16,7789649,OpenTable,2.05E-06,0.173401266
99,22nd/a,5,0.5,54,8266564,OpenTable,6.53E-06,0.551466199
100,23rd/a,1,-0.5,0,699695,OpenTable,0,0
101,23rd/a,2,-0.25,6,2507147,OpenTable,2.39E-06,0.243579707
102,23rd/a,3,0,5,4207700,OpenTable,1.19E-06,0.120946941
103,23rd/a,4,0.25,10,7789649,OpenTable,1.28E-06,0.13066274
104,23rd/a,5,0.5,41,8266564,OpenTable,4.96E-06,0.504810612
105,24th/a,1,-0.5,1,699695,OpenTable,1.43E-06,0.08331272
106,24th/a,2,-0.25,5,2507147,OpenTable,1.99E-06,0.116254638
107,24th/a,3,0,11,4207700,OpenTable,2.61E-06,0.152394046
108,24th/a,4,0.25,31,7789649,OpenTable,3.98E-06,0.231987127
109,24th/a,5,0.5,59,8266564,OpenTable,7.14E-06,0.41605147
110,25th/a,1,-0.5,11,699695,OpenTable,1.57E-05,0.237951889
111,25th/a,2,-0.25,16,2507147,OpenTable,6.38E-06,0.096592949
112,25th/a,3,0,18,4207700,OpenTable,4.28E-06,0.064748987
113,25th/a,4,0.25,83,7789649,OpenTable,1.07E-05,0.161274404
114,25th/a,5,0.5,240,8266564,OpenTable,2.90E-05,0.43943177
115,26th/a,1,-0.5,2,699695,OpenTable,2.86E-06,0.209420401
116,26th/a,2,-0.25,5,2507147,OpenTable,1.99E-06,0.1461127
117,26th/a,3,0,4,4207700,OpenTable,9.51E-07,0.069648695
118,26th/a,4,0.25,14,7789649,OpenTable,1.80E-06,0.131676389
119,26th/a,5,0.5,50,8266564,OpenTable,6.05E-06,0.443141815
120,27th/a,1,-0.5,3,699695,OpenTable,4.29E-06,0.232603268
121,27th/a,2,-0.25,6,2507147,OpenTable,2.39E-06,0.129829917
122,27th/a,3,0,9,4207700,OpenTable,2.14E-06,0.116038223
123,27th/a,4,0.25,24,7789649,OpenTable,3.08E-06,0.167146266
124,27th/a,5,0.5,54,8266564,OpenTable,6.53E-06,0.354382326
125,28th/a,1,-0.5,1,699695,OpenTable,1.43E-06,0.091020253
126,28th/a,2,-0.25,7,2507147,OpenTable,2.79E-06,0.177813631
127,28th/a,3,0,9,4207700,OpenTable,2.14E-06,0.136221153
128,28th/a,4,0.25,20,7789649,OpenTable,2.57E-06,0.163515496
129,28th/a,5,0.5,56,8266564,OpenTable,6.77E-06,0.431429467
130,29th/a,1,-0.5,0,699695,OpenTable,0,0
131,29th/a,2,-0.25,5,2507147,OpenTable,1.99E-06,0.1438753
132,29th/a,3,0,7,4207700,OpenTable,1.66E-06,0.120018807
133,29th/a,4,0.25,22,7789649,OpenTable,2.82E-06,0.203751506
134,29th/a,5,0.5,61,8266564,OpenTable,7.38E-06,0.532354387
135,2d/a,1,-0.5,0,699695,OpenTable,0,0
136,2d/a,2,-0.25,0,2507147,OpenTable,0,0
137,2d/a,3,0,1,4207700,OpenTable,2.38E-07,0.480692715
138,2d/a,4,0.25,2,7789649,OpenTable,2.57E-07,0.519307285
139,2d/a,5,0.5,0,8266564,OpenTable,0,0
140,2nd/a,1,-0.5,47,699695,OpenTable,6.72E-05,0.196423074
141,2nd/a,2,-0.25,208,2507147,OpenTable,8.30E-05,0.242597852
142,2nd/a,3,0,299,4207700,OpenTable,7.11E-05,0.207792484
143,2nd/a,4,0.25,432,7789649,OpenTable,5.55E-05,0.162169536
144,2nd/a,5,0.5,540,8266564,OpenTable,6.53E-05,0.191017054
145,3-dimensional/a,1,-0.5,0,699695,OpenTable,0,0
146,3-dimensional/a,2,-0.25,0,2507147,OpenTable,0,0
147,3-dimensional/a,3,0,0,4207700,OpenTable,0,0
148,3-dimensional/a,4,0.25,1,7789649,OpenTable,1.28E-07,1
149,3-dimensional/a,5,0.5,0,8266564,OpenTable,0,0
150,30th/a,1,-0.5,7,699695,OpenTable,1.00E-05,0.137479448
151,30th/a,2,-0.25,28,2507147,OpenTable,1.12E-05,0.153471148
152,30th/a,3,0,38,4207700,OpenTable,9.03E-06,0.124104445
153,30th/a,4,0.25,96,7789649,OpenTable,1.23E-05,0.169356494
154,30th/a,5,0.5,250,8266564,OpenTable,3.02E-05,0.415588465
155,31st/a,1,-0.5,1,699695,OpenTable,1.43E-06,0.492308846
156,31st/a,2,-0.25,0,2507147,OpenTable,0,0
157,31st/a,3,0,0,4207700,OpenTable,0,0
158,31st/a,4,0.25,3,7789649,OpenTable,3.85E-07,0.132662988
159,31st/a,5,0.5,9,8266564,OpenTable,1.09E-06,0.375028166
160,32nd/a,1,-0.5,0,699695,OpenTable,0,0
161,32nd/a,2,-0.25,1,2507147,OpenTable,3.99E-07,0.098508109
