,Unnamed: 0,Word,Tag,Score,avg
518,38813,amplify,v,2.48832,2.48832
519,38818,amply,r,2.48832,2.48832
520,38825,amputate,v,-2.48832,-2.48832
521,38833,amuse,v,1.0,1.0
522,38835,amusement,n,3.97664,3.97664
523,39016,anarchist,n,-2.48832,-2.48832
524,39018,anarchy,n,-2.48832,-2.48832
525,39035,anathematise,v,0.210999052,0.210999052
526,39037,anathematize,v,0.025942443,0.025942443
527,39038,anathemise,v,0.145269924,0.145269924
528,39039,anathemize,v,-0.077738159,-0.077738159
529,39134,anele,v,-0.416102912,-0.416102912
530,39181,angel,n,5.46496,5.46496
531,39189,angelic,a,-0.375532032,-0.375532032
532,39191,angelical,a,-0.014197146,-0.014197146
533,39198,anger,n,-3.752728064,-3.120524032
534,39199,anger,v,-2.48832,-3.120524032
535,39273,angriness,n,0.673997517,0.673997517
536,39274,angry,a,0.31712,0.31712
537,39281,anguish,n,-2.48832,-1.0856
538,39282,anguish,v,0.31712,-1.0856
539,39359,animate_being,n,0.31712,0.31712
540,39379,animosity,n,-2.330637312,-2.330637312
541,39380,animus,n,0.499323494,0.499323494
542,39431,anneal,v,0.31712,0.31712
543,39444,annihilate,v,-6.95328,-6.95328
544,39447,annihilation,n,-2.48832,-2.48832
545,39461,annoy,v,-3.97664,-3.97664
546,39462,annoyance,n,-7.83609344,-7.83609344
547,39466,annoying,n,1.847318528,1.847318528
548,39479,annul,v,1.5856,1.5856
549,39504,anoint,v,2.24741673,2.24741673
550,39518,anomalousness,n,0.416102912,0.416102912
551,39519,anomaly,n,-2.24741673,-2.24741673
552,39587,antagonise,v,0.832205824,0.832205824
553,39588,antagonism,n,-3.97664,-3.97664
554,39589,antagonist,n,-5.46496,-5.46496
555,39593,antagonize,v,-3.494833459,-3.494833459
556,39711,anthropophagite,n,0.375532032,0.375532032
557,39713,anthropophagus,n,0.014197146,0.014197146
558,39892,antipathy,n,-3.97664,-3.97664
559,39999,anxiety,n,-5.719760384,-5.719760384
560,40010,anxiousness,n,-6.663712461,-6.663712461
561,40035,apace,r,-0.31712,-0.31712
562,40043,apart,r,0.31712,0.31712
563,40051,apathy,n,-3.97664,-3.97664
564,40132,apocalypse,n,2.48832,2.48832
565,40154,apogee,n,-0.31712,-0.31712
566,40162,apologise,v,-0.31712,-0.31712
567,40191,apostasy,n,0.31712,0.31712
568,40217,apotheosis,n,-0.63424,-0.63424
569,40221,appal,v,2.08051456,2.08051456
570,40222,appall,v,-7.237083648,-7.237083648
571,40241,apparently,r,-0.31712,-0.31712
572,40251,appealingness,n,-0.31712,-0.31712
573,40258,appease,v,2.147730432,2.147730432
574,40269,append,v,3.97664,3.97664
575,40299,applaud,v,2.48832,2.48832
576,40302,applause,n,2.48832,2.48832
577,40325,apple_sauce,n,0.14311424,0.14311424
578,40332,applesauce,n,0.232417792,0.232417792
579,40360,appoint,v,2.48832,2.48832
580,40367,apportion,v,-0.31712,-0.31712
581,40386,appreciate,v,6.301145587,6.301145587
582,40388,appreciation,n,6.95328,6.95328
583,40393,apprehend,v,2.741752832,2.741752832
584,40397,apprehension,n,-3.752728064,-3.752728064
585,40400,apprehensiveness,n,0.673997517,0.673997517
586,40401,apprentice,n,-0.31712,-0.31712
587,40407,apprise,v,-1.057441305,-1.057441305
588,40408,apprize,v,-0.487142412,-0.487142412
589,40410,approach,n,2.063066112,2.275693056
590,40411,approach,v,2.48832,2.275693056
591,40412,approach_path,n,-0.512643686,-0.512643686
592,40414,approach_shot,n,-0.512643686,-0.512643686
593,40419,approaching,n,-0.512643686,-0.512643686
594,40433,approval,n,5.174818816,5.174818816
595,40434,approve,v,3.97664,3.97664
596,40438,approving,n,-0.848671539,-0.848671539
597,40466,aptitude,n,2.48832,2.48832
598,40533,arbiter,n,2.48832,2.48832
599,40540,arbitrament,n,-0.465825203,-0.465825203
600,40544,arbitrate,v,5.46496,5.46496
601,40545,arbitration,n,2.102513295,2.102513295
602,40550,arbitrement,n,-0.125110739,-0.125110739
603,40575,arc,n,0.31712,0.31712
604,40589,arcanum,n,0.31712,0.31712
605,40720,ardent,a,-0.31712,-0.31712
606,40723,ardor,n,-0.31712,-0.31712
607,40781,argufy,v,0.63424,0.63424
608,40782,arguing,n,0.31712,0.31712
609,40810,aristocracy,n,3.97664,3.97664
610,40811,aristocrat,n,2.48832,2.48832
611,40847,armed_combat,n,0.31712,0.31712
612,40929,aroma,n,-0.31712,-0.31712
613,40937,around,r,-0.31712,-0.31712
614,40941,arousal,n,-0.31712,-0.31712
