Word,ExpectedRate,avg
adrenal,2.72678161,2.72678161
adrift,5,5
adroit,5,5
adroitly,4.456031566,4.456031566
adulatory,2,2
adult,3.445905792,3.445905792
adulterous,2.196953157,2.196953157
advanced,3.730190013,3.730190013
advantageous,2.977037542,2.977037542
adventuresome,4.219481944,4.219481944
adventurous,3.590629482,3.590629482
adverse,3.148249626,3.148249626
adversely,2.973920471,2.973920471
advertised,2.65725665,2.65725665
advisable,3.55909823,3.55909823
advisory,5,5
aerial,4.653531998,4.653531998
aerobic,3.485522456,3.485522456
aerodynamic,1,1
aesthetic,3.289976493,3.289976493
aesthetical,4,4
aesthetically,3.241619743,3.241619743
afar,5,5
affable,3.502232531,3.502232531
affected,2.689556643,2.689556643
affectionate,3.911726269,3.911726269
affectionately,5,5
affective,2.416124995,2.416124995
affiliated,2.358829687,2.358829687
affirmative,3.073006792,3.073006792
affirmatively,2,2
affluent,3.763154968,3.763154968
affordable,3.935555124,3.935555124
afield,3.897994133,3.897994133
aflame,5,5
afoot,5,5
aforementioned,2.874575603,2.874575603
aforesaid,5,5
afoul,3.851923716,3.851923716
afraid,2.964889553,2.964889553
african-american,2.256389164,2.256389164
african,3.182707733,3.182707733
afro-american,5,5
aft,5,5
after all,3.019661169,3.019661169
after hours,3.149648315,3.149648315
after-hours,4,4
after-school,2.196953157,2.196953157
after,2.918209068,2.780172092
afterward,3.089574857,3.089574857
afterwards,2.870671312,2.870671312
again and again,3.642114142,3.642114142
again,3.19789511,3.19789511
against the clock,2.394258351,2.394258351
against the wind,2.924273228,2.924273228
against time,3.320757292,3.320757292
agape,1,1
age-old,3.139853754,3.139853754
age-related,4.386034674,4.386034674
ageing,5,5
ageless,5,5
aggravating,2.550617678,2.550617678
aggravatingly,1,1
aggregate,3.474018083,3.474018083
aggressive,3.022627909,3.022627909
aggressively,2.764301228,2.764301228
aghast,2.349309076,2.349309076
agile,2.796704393,2.796704393
aglow,3,3
agnostic,2.680948553,2.680948553
ago,3.258407927,3.258407927
agonizing,2.914768364,2.914768364
agonizingly,1.906722025,1.906722025
agoraphobic,1.697155506,1.697155506
agrarian,3.521425615,3.521425615
agreeable,3.077642692,3.077642692
agreeably,3.851923716,3.851923716
agreed upon,1.702932086,1.702932086
agricultural,3.706595499,3.706595499
ahead of the game,3.116717574,3.116717574
ahead of time,3.123755382,3.123755382
ahead,3.026613902,3.026613902
ahistorical,2.554986914,2.554986914
ailing,3.541234481,3.541234481
aimless,1.674672944,1.674672944
aimlessly,2.597247999,2.597247999
air-conditioned,4.414297364,4.414297364
air-tight,2.126177485,2.126177485
airborne,1.753996714,1.753996714
airtight,3.541234481,3.541234481
airy,3.776991386,3.776991386
ajar,3,3
akin,3.048828092,3.048828092
alarmed,2.891766319,2.891766319
alarming,3.104528382,3.104528382
alarmingly,2.540348741,2.540348741
alaskan,3.731970027,3.731970027
albanian,2,2
alchemical,5,5
alcoholic,3.541142466,3.541142466
aleatory,4,4
alert,3.126965689,3.126965689
algebraic,5,5
alien,3.203515083,3.203515083
alike,3.235666062,3.235666062
alive,3.420296716,3.420296716
alkaline,1,1
all along,3.424507716,3.424507716
all at once,3.731911956,3.731911956
all day long,3.652468301,3.652468301
all important,3.514906024,3.514906024
all in all,3.500749465,3.500749465
all in,3.352292185,3.352292185
all of a sudden,2.249073979,2.249073979
all over,2.610615932,2.610615932
all right,2.89324823,2.89324823
all the same,2.921806889,2.921806889
all the time,3.051378275,3.051378275
all the way,3.035441475,3.035441475
all together,3.065289534,3.065289534
all told,3.187735666,3.187735666
all too,3.165372606,3.165372606
all-around,3.720538874,3.720538874
all-embracing,1.697155506,1.697155506
all-encompassing,2.711517505,2.711517505
all-important,4.188368593,4.188368593
all-inclusive,3.347658331,3.347658331
all-knowing,2.72678161,2.72678161
all-night,4.386034674,4.386034674
all-or-nothing,3.488269766,3.488269766
all-out,4.715507074,4.715507074
all-powerful,2.416124995,2.416124995
all-purpose,4.834163945,4.834163945
all-round,3.715093417,3.715093417
all-time,3.465215741,3.465215741
all-weather,5,5
all,2.032283017,2.032283017
alleged,1.749162277,1.749162277
allegedly,2.57106816,2.57106816
allegorical,1.946601497,1.946601497
allegorically,5,5
allergenic,3.679274827,3.679274827
allergic,2.265970856,2.265970856
alleviated,4,4
allied,5,5
alliterative,5,5
allopathic,5,5
allotted,3,3
allowable,4.386034674,4.386034674
alluring,3.504214014,3.504214014
almighty,5,5
almost,3.093723567,3.093723567
aloft,5,5
alone,2.419560617,2.676177709
along,3.290809537,3.290809537
aloof,1.725190884,2.862595442
aloud,3.871549969,3.871549969
alphabetical,3.307839208,3.307839208
alphabetically,2.770672566,2.770672566
already,3.081399421,3.081399421
alright,2.925180874,2.925180874
also known as,2.24537814,2.24537814
also,3.420408485,3.420408485
alterative,3,3
altered,2.687463965,2.687463965
alternate,3.035019771,3.035019771
alternately,3.887527607,3.887527607
alternative,2.71923856,2.71923856
alternatively,3.277032559,3.277032559
altogether,3.18135684,3.18135684
altruistic,3.07321359,3.07321359
always,3.561598979,3.561598979
amateur,2.874174799,2.874174799
amateurish,1.653976623,1.653976623
amateurishly,1.466403084,1.466403084
amazing,4.124278177,4.124278177
amazingly,3.942019969,3.942019969
ambient,3.234565181,3.234565181
ambiguous,2.537777207,2.537777207
ambiguously,2.064465249,2.064465249
ambitious,3.485263565,3.485263565
ambitiously,2.394258351,2.394258351
ambivalent,3.631413232,3.631413232
amenable,3.522163649,3.522163649
american,3.369163401,3.369163401
amiable,3.301874137,3.301874137
amiably,5,5
amicable,3.679274827,3.679274827
amicably,2.196953157,2.196953157
amino,3.077254557,3.077254557
amiss,3.670228679,3.670228679
amnesiac,5,5
amok,3.286851037,3.286851037
amorous,3.04406884,3.04406884
amorphous,2.797946792,2.797946792
amphibian,5,5
amphibious,4.715507074,4.715507074
ample,3.807076385,3.807076385
amply,3.369129922,3.369129922
amusing,3.238871081,3.238871081
amusingly,4.132110745,4.132110745
anabolic,1.381854225,1.381854225
anachronistic,2.418898345,2.418898345
anachronistically,4,4
anaemic,4,4
anaerobic,5,5
anal retentive,3.371104373,3.371104373
anal,3.007331415,3.007331415
analogical,5,5
analogous,3.398934344,3.398934344
analogue,5,5
analytic,3.653073472,3.653073472
analytical,3.630264667,3.630264667
analytically,2.533532505,2.533532505
anamorphic,1.753996714,1.753996714
anarchic,4,4
anatomical,3.139011076,3.139011076
ancestral,3.381646733,3.381646733
ancient,2.997812336,2.997812336
ancillary,3.581937937,3.581937937
and how,3.622302246,3.622302246
and so forth,3.277529172,3.277529172
and so on,3.289620682,3.289620682
and so,3.256539992,3.256539992
and then some,3.874854725,3.874854725
and then,2.854875323,2.854875323
andean,5,5
androgenous,5,5
androgynous,5,5
anecdotal,2.465297045,2.465297045
anecdotical,4,4
anemic,1.98621302,1.98621302
anew,3.386377032,3.386377032
angelic,4.386034674,4.386034674
angered,1.162022008,1.162022008
angled,5,5
anglican,2.828357452,2.828357452
angrily,1.854583365,1.854583365
angry,2.362555882,2.362555882
anguished,2.533532505,2.533532505
angular,3.541234481,3.541234481
animal,3.313297569,3.313297569
animalistic,1,1
animated,3.087765324,3.087765324
ankle-deep,2.394258351,2.394258351
anno domini,3.541234481,3.541234481
annoyed,2.476655191,2.476655191
annoying,2.380083286,2.380083286
annoyingly,2.619121262,2.619121262
annual,3.22254994,3.22254994
annually,3.694167667,3.694167667
anomalous,2.518492094,2.518492094
anonymous,4.018434305,4.018434305
anonymously,2.938840588,2.938840588
anorexic,5,5
answerable,4.715507074,4.715507074
antagonistic,4.022329717,4.022329717
antebellum,1,1
anthropic,2.977037542,2.977037542
anthropogenic,3.424318877,3.424318877
anthropological,3.035955316,3.035955316
anthropomorphic,3.541288115,3.541288115
anti-american,1.551304217,1.551304217
anti-intellectual,1.310652105,1.310652105
anti-semitic,1,1
anti,2.241580152,2.241580152
antibacterial,1.697155506,1.697155506
antibiotic,2.533532505,2.533532505
antic,1,1
anticipated,2.254917382,2.254917382
anticipatory,5,5
anticlimactic,2.48920916,2.48920916
antidotal,5,5
antimicrobial,5,5
antiquarian,4.460108372,4.460108372
antiquated,2.138076918,2.138076918
antique,4.155123128,4.155123128
antisemitic,5,5
