Word,ExpectedRate,avg
affirmative,4.320261498,4.320261498
affirmatively,4,4
affluent,2.49944512,2.49944512
affordable,3.884405621,3.884405621
afield,2.37337366,2.37337366
aforementioned,2.935077727,2.935077727
afraid,2.771163731,2.771163731
african-american,3,3
african,3.684448185,3.684448185
aft,2,2
after all,2.609088183,2.609088183
after hours,2.65009316,2.65009316
after-hours,4,4
after,3,2.782716782
afterward,3.339376888,3.339376888
afterwards,2.897095201,2.897095201
again and again,4.430203633,4.430203633
again,3.087989057,3.087989057
against the wind,3.111175702,3.111175702
aged,5,5
ageing,4.485148584,4.485148584
ageless,4.653333396,4.653333396
aggravating,3.461207072,3.461207072
aggressive,2.404173424,2.404173424
aggressively,2.273884007,2.273884007
aghast,1.479295647,1.479295647
ago,2.755278244,2.755278244
agog,1,1
agonizing,3.511525939,3.511525939
agonizingly,1.399274906,1.399274906
agreeable,3.399298524,3.399298524
agreeably,3.866200925,3.866200925
agreed upon,3.897339172,3.897339172
agreed,3,3
agricultural,4,4
aground,3,3
ahead of the game,4,4
ahead of time,2.887731467,2.887731467
ahead,2.692809184,2.692809184
aimless,1.285159438,1.285159438
aimlessly,1.718139942,1.718139942
air-conditioned,4.007038069,4.007038069
air-dried,4,4
air-dry,4,4
airborne,4,4
airheaded,5,5
airlike,4,4
airy,3.784707921,3.784707921
akin,2.155508042,2.155508042
al dente,2.786889402,2.786889402
alarmed,4,4
alarming,3.12407911,3.12407911
alarmingly,1.701557047,1.701557047
alaskan,3.28219818,3.28219818
alcoholic,2.828310967,2.828310967
alert,3.268603758,3.268603758
alertly,5,5
alfresco,3.962758168,3.962758168
alien,5,5
alienating,5,5
alike,3.641218235,3.641218235
alive,4.029468168,4.029468168
all along,3.872578456,3.872578456
all at once,2.648456939,2.648456939
all day long,2.455955527,2.455955527
all important,4.435826928,4.435826928
all in all,3.256108862,3.256108862
all in,3.24663812,3.24663812
all of a sudden,3.261830845,3.261830845
all over,2.563439499,2.563439499
all right,2.888564024,2.888564024
all the same,3.06165303,3.06165303
all the time,3.129519911,3.129519911
all the way,3.288557565,3.288557565
all together,2.811334641,2.811334641
all told,2.875673244,2.875673244
all too,3.1292815,3.1292815
all-around,4.090039194,4.090039194
all-encompassing,5,5
all-important,4,4
all-inclusive,3.555516952,3.555516952
all-night,2,2
all-out,4.485148584,4.485148584
all-purpose,3,3
all-round,4.492155269,4.492155269
