Word,Rating,Category,Count,Total,Corpus
2d/a,4,0.25,2,7789649,OpenTable
2d/a,5,0.5,0,8266564,OpenTable
2nd/a,1,-0.5,47,699695,OpenTable
2nd/a,2,-0.25,208,2507147,OpenTable
2nd/a,3,0,299,4207700,OpenTable
2nd/a,4,0.25,432,7789649,OpenTable
2nd/a,5,0.5,540,8266564,OpenTable
3-dimensional/a,1,-0.5,0,699695,OpenTable
3-dimensional/a,2,-0.25,0,2507147,OpenTable
3-dimensional/a,3,0,0,4207700,OpenTable
3-dimensional/a,4,0.25,1,7789649,OpenTable
3-dimensional/a,5,0.5,0,8266564,OpenTable
30th/a,1,-0.5,7,699695,OpenTable
30th/a,2,-0.25,28,2507147,OpenTable
30th/a,3,0,38,4207700,OpenTable
30th/a,4,0.25,96,7789649,OpenTable
30th/a,5,0.5,250,8266564,OpenTable
31st/a,1,-0.5,1,699695,OpenTable
31st/a,2,-0.25,0,2507147,OpenTable
31st/a,3,0,0,4207700,OpenTable
31st/a,4,0.25,3,7789649,OpenTable
31st/a,5,0.5,9,8266564,OpenTable
32nd/a,1,-0.5,0,699695,OpenTable
32nd/a,2,-0.25,1,2507147,OpenTable
32nd/a,3,0,2,4207700,OpenTable
32nd/a,4,0.25,4,7789649,OpenTable
32nd/a,5,0.5,22,8266564,OpenTable
33rd/a,1,-0.5,0,699695,OpenTable
33rd/a,2,-0.25,0,2507147,OpenTable
33rd/a,3,0,4,4207700,OpenTable
33rd/a,4,0.25,9,7789649,OpenTable
33rd/a,5,0.5,15,8266564,OpenTable
34th/a,1,-0.5,0,699695,OpenTable
34th/a,2,-0.25,6,2507147,OpenTable
34th/a,3,0,1,4207700,OpenTable
34th/a,4,0.25,7,7789649,OpenTable
34th/a,5,0.5,19,8266564,OpenTable
35th/a,1,-0.5,2,699695,OpenTable
35th/a,2,-0.25,7,2507147,OpenTable
35th/a,3,0,8,4207700,OpenTable
35th/a,4,0.25,27,7789649,OpenTable
35th/a,5,0.5,63,8266564,OpenTable
36th/a,1,-0.5,1,699695,OpenTable
36th/a,2,-0.25,1,2507147,OpenTable
36th/a,3,0,1,4207700,OpenTable
36th/a,4,0.25,12,7789649,OpenTable
36th/a,5,0.5,24,8266564,OpenTable
37th/a,1,-0.5,1,699695,OpenTable
37th/a,2,-0.25,2,2507147,OpenTable
37th/a,3,0,4,4207700,OpenTable
37th/a,4,0.25,11,7789649,OpenTable
37th/a,5,0.5,33,8266564,OpenTable
38th/a,1,-0.5,0,699695,OpenTable
38th/a,2,-0.25,0,2507147,OpenTable
38th/a,3,0,1,4207700,OpenTable
38th/a,4,0.25,8,7789649,OpenTable
38th/a,5,0.5,21,8266564,OpenTable
39th/a,1,-0.5,0,699695,OpenTable
39th/a,2,-0.25,2,2507147,OpenTable
39th/a,3,0,1,4207700,OpenTable
39th/a,4,0.25,11,7789649,OpenTable
39th/a,5,0.5,30,8266564,OpenTable
3rd/a,1,-0.5,23,699695,OpenTable
3rd/a,2,-0.25,74,2507147,OpenTable
3rd/a,3,0,92,4207700,OpenTable
3rd/a,4,0.25,157,7789649,OpenTable
3rd/a,5,0.5,200,8266564,OpenTable
40th/a,1,-0.5,7,699695,OpenTable
40th/a,2,-0.25,25,2507147,OpenTable
40th/a,3,0,22,4207700,OpenTable
40th/a,4,0.25,106,7789649,OpenTable
40th/a,5,0.5,284,8266564,OpenTable
43rd/a,1,-0.5,0,699695,OpenTable
43rd/a,2,-0.25,0,2507147,OpenTable
43rd/a,3,0,1,4207700,OpenTable
43rd/a,4,0.25,2,7789649,OpenTable
43rd/a,5,0.5,9,8266564,OpenTable
44th/a,1,-0.5,1,699695,OpenTable
44th/a,2,-0.25,2,2507147,OpenTable
44th/a,3,0,0,4207700,OpenTable
44th/a,4,0.25,9,7789649,OpenTable
44th/a,5,0.5,15,8266564,OpenTable
45th/a,1,-0.5,3,699695,OpenTable
45th/a,2,-0.25,3,2507147,OpenTable
45th/a,3,0,5,4207700,OpenTable
45th/a,4,0.25,12,7789649,OpenTable
45th/a,5,0.5,27,8266564,OpenTable
46th/a,1,-0.5,0,699695,OpenTable
46th/a,2,-0.25,0,2507147,OpenTable
46th/a,3,0,1,4207700,OpenTable
46th/a,4,0.25,7,7789649,OpenTable
46th/a,5,0.5,16,8266564,OpenTable
47th/a,1,-0.5,1,699695,OpenTable
47th/a,2,-0.25,1,2507147,OpenTable
47th/a,3,0,2,4207700,OpenTable
47th/a,4,0.25,5,7789649,OpenTable
47th/a,5,0.5,12,8266564,OpenTable
48th/a,1,-0.5,0,699695,OpenTable
48th/a,2,-0.25,1,2507147,OpenTable
48th/a,3,0,0,4207700,OpenTable
48th/a,4,0.25,5,7789649,OpenTable
48th/a,5,0.5,9,8266564,OpenTable
49th/a,1,-0.5,0,699695,OpenTable
49th/a,2,-0.25,1,2507147,OpenTable
49th/a,3,0,2,4207700,OpenTable
49th/a,4,0.25,6,7789649,OpenTable
49th/a,5,0.5,12,8266564,OpenTable
4th/a,1,-0.5,11,699695,OpenTable
4th/a,2,-0.25,70,2507147,OpenTable
4th/a,3,0,94,4207700,OpenTable
4th/a,4,0.25,191,7789649,OpenTable
4th/a,5,0.5,291,8266564,OpenTable
50th/a,1,-0.5,9,699695,OpenTable
50th/a,2,-0.25,21,2507147,OpenTable
50th/a,3,0,31,4207700,OpenTable
50th/a,4,0.25,109,7789649,OpenTable
50th/a,5,0.5,284,8266564,OpenTable
55th/a,1,-0.5,1,699695,OpenTable
55th/a,2,-0.25,1,2507147,OpenTable
55th/a,3,0,4,4207700,OpenTable
55th/a,4,0.25,7,7789649,OpenTable
55th/a,5,0.5,22,8266564,OpenTable
5th/a,1,-0.5,4,699695,OpenTable
5th/a,2,-0.25,28,2507147,OpenTable
5th/a,3,0,48,4207700,OpenTable
5th/a,4,0.25,138,7789649,OpenTable
5th/a,5,0.5,240,8266564,OpenTable
60th/a,1,-0.5,0,699695,OpenTable
60th/a,2,-0.25,8,2507147,OpenTable
60th/a,3,0,13,4207700,OpenTable
60th/a,4,0.25,33,7789649,OpenTable
60th/a,5,0.5,104,8266564,OpenTable
64th/a,1,-0.5,2,699695,OpenTable
64th/a,2,-0.25,0,2507147,OpenTable
64th/a,3,0,0,4207700,OpenTable
64th/a,4,0.25,4,7789649,OpenTable
64th/a,5,0.5,7,8266564,OpenTable
65th/a,1,-0.5,1,699695,OpenTable
65th/a,2,-0.25,2,2507147,OpenTable
65th/a,3,0,5,4207700,OpenTable
65th/a,4,0.25,17,7789649,OpenTable
65th/a,5,0.5,31,8266564,OpenTable
6th/a,1,-0.5,2,699695,OpenTable
6th/a,2,-0.25,16,2507147,OpenTable
6th/a,3,0,17,4207700,OpenTable
6th/a,4,0.25,37,7789649,OpenTable
6th/a,5,0.5,87,8266564,OpenTable
70th/a,1,-0.5,1,699695,OpenTable
70th/a,2,-0.25,3,2507147,OpenTable
70th/a,3,0,6,4207700,OpenTable
70th/a,4,0.25,31,7789649,OpenTable
70th/a,5,0.5,59,8266564,OpenTable
75th/a,1,-0.5,0,699695,OpenTable
75th/a,2,-0.25,0,2507147,OpenTable
75th/a,3,0,1,4207700,OpenTable
75th/a,4,0.25,12,7789649,OpenTable
75th/a,5,0.5,31,8266564,OpenTable
7th/a,1,-0.5,1,699695,OpenTable
7th/a,2,-0.25,5,2507147,OpenTable
7th/a,3,0,8,4207700,OpenTable
7th/a,4,0.25,32,7789649,OpenTable
7th/a,5,0.5,63,8266564,OpenTable
80th/a,1,-0.5,2,699695,OpenTable
80th/a,2,-0.25,2,2507147,OpenTable
80th/a,3,0,3,4207700,OpenTable
80th/a,4,0.25,28,7789649,OpenTable
80th/a,5,0.5,55,8266564,OpenTable
85th/a,1,-0.5,0,699695,OpenTable
85th/a,2,-0.25,3,2507147,OpenTable
85th/a,3,0,2,4207700,OpenTable
85th/a,4,0.25,3,7789649,OpenTable
85th/a,5,0.5,22,8266564,OpenTable
8th/a,1,-0.5,3,699695,OpenTable
8th/a,2,-0.25,13,2507147,OpenTable
8th/a,3,0,14,4207700,OpenTable
8th/a,4,0.25,35,7789649,OpenTable
8th/a,5,0.5,72,8266564,OpenTable
90th/a,1,-0.5,1,699695,OpenTable
90th/a,2,-0.25,3,2507147,OpenTable
90th/a,3,0,2,4207700,OpenTable
90th/a,4,0.25,8,7789649,OpenTable
90th/a,5,0.5,33,8266564,OpenTable
95th/a,1,-0.5,2,699695,OpenTable
95th/a,2,-0.25,1,2507147,OpenTable
95th/a,3,0,2,4207700,OpenTable
95th/a,4,0.25,1,7789649,OpenTable
95th/a,5,0.5,1,8266564,OpenTable
9th/a,1,-0.5,0,699695,OpenTable
9th/a,2,-0.25,7,2507147,OpenTable
9th/a,3,0,3,4207700,OpenTable
9th/a,4,0.25,15,7789649,OpenTable
9th/a,5,0.5,37,8266564,OpenTable
a bit/r,1,-0.5,134,699695,OpenTable
a bit/r,2,-0.25,1680,2507147,OpenTable
a bit/r,3,0,6395,4207700,OpenTable
a bit/r,4,0.25,11164,7789649,OpenTable
a bit/r,5,0.5,4545,8266564,OpenTable
a couple of/a,1,-0.5,76,699695,OpenTable
a couple of/a,2,-0.25,310,2507147,OpenTable
a couple of/a,3,0,554,4207700,OpenTable
a couple of/a,4,0.25,1021,7789649,OpenTable
a couple of/a,5,0.5,803,8266564,OpenTable
a few/a,1,-0.5,278,699695,OpenTable
a few/a,2,-0.25,993,2507147,OpenTable
a few/a,3,0,1970,4207700,OpenTable
a few/a,4,0.25,3293,7789649,OpenTable
a few/a,5,0.5,2634,8266564,OpenTable
a good deal/r,1,-0.5,4,699695,OpenTable
a good deal/r,2,-0.25,15,2507147,OpenTable
a good deal/r,3,0,68,4207700,OpenTable
a good deal/r,4,0.25,107,7789649,OpenTable
a good deal/r,5,0.5,48,8266564,OpenTable
a great deal/r,1,-0.5,5,699695,OpenTable
a great deal/r,2,-0.25,29,2507147,OpenTable
a great deal/r,3,0,124,4207700,OpenTable
a great deal/r,4,0.25,365,7789649,OpenTable
a great deal/r,5,0.5,297,8266564,OpenTable
a hundred times/r,1,-0.5,0,699695,OpenTable
a hundred times/r,2,-0.25,1,2507147,OpenTable
a hundred times/r,3,0,0,4207700,OpenTable
a hundred times/r,4,0.25,8,7789649,OpenTable
a hundred times/r,5,0.5,6,8266564,OpenTable
a la carte/a,1,-0.5,13,699695,OpenTable
a la carte/a,2,-0.25,90,2507147,OpenTable
a la carte/a,3,0,174,4207700,OpenTable
a la carte/a,4,0.25,317,7789649,OpenTable
a la carte/a,5,0.5,187,8266564,OpenTable
a la carte/r,1,-0.5,13,699695,OpenTable
a la carte/r,2,-0.25,90,2507147,OpenTable
a la carte/r,3,0,174,4207700,OpenTable
a la carte/r,4,0.25,317,7789649,OpenTable
