,Word,Rating,Category,Count,Total,Corpus,RelativeFrequency,Probabilities
70,17th/a,1,-0.5,3,3419923,Goodreads,8.77212732567e-07,0.23580337902
71,17th/a,2,-0.25,3,3912625,Goodreads,7.66748666177e-07,0.206109555449
72,17th/a,3,0.0,7,6011388,Goodreads,1.16445652818e-06,0.31301732621
73,17th/a,4,0.25,3,10187257,Goodreads,2.94485551901e-07,0.0791606022492
74,17th/a,5,0.5,10,16202230,Goodreads,6.17198990509e-07,0.165909137073
75,18th/a,1,-0.5,8,3419923,Goodreads,2.33923395351e-06,0.1789126404
76,18th/a,2,-0.25,7,3912625,Goodreads,1.78908022108e-06,0.136834994961
77,18th/a,3,0.0,21,6011388,Goodreads,3.49336958453e-06,0.26718489415
78,18th/a,4,0.25,26,10187257,Goodreads,2.55220811647e-06,0.195201635254
79,18th/a,5,0.5,47,16202230,Goodreads,2.90083525539e-06,0.221865835236
80,19th/a,1,-0.5,19,3419923,Goodreads,5.55568063959e-06,0.159411440705
81,19th/a,2,-0.25,27,3912625,Goodreads,6.90073799559e-06,0.198005727321
82,19th/a,3,0.0,49,6011388,Goodreads,8.15119569723e-06,0.233885626958
83,19th/a,4,0.25,86,10187257,Goodreads,8.44191915449e-06,0.24222747527
84,19th/a,5,0.5,94,16202230,Goodreads,5.80167051079e-06,0.166469729745
85,2-dimensional/a,1,-0.5,5,3419923,Goodreads,1.46202122095e-06,0.388675738516
86,2-dimensional/a,2,-0.25,5,3912625,Goodreads,1.27791444363e-06,0.339731279561
87,2-dimensional/a,3,0.0,4,6011388,Goodreads,6.65403730386e-07,0.176896396998
88,2-dimensional/a,4,0.25,3,10187257,Goodreads,2.94485551901e-07,0.0782884596526
89,2-dimensional/a,5,0.5,1,16202230,Goodreads,6.17198990509e-08,0.0164081252728
90,200th/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
91,200th/a,2,-0.25,2,3912625,Goodreads,5.11165777451e-07,0.754469623952
92,200th/a,3,0.0,1,6011388,Goodreads,1.66350932597e-07,0.245530376048
93,200th/a,4,0.25,0,10187257,Goodreads,0.0,0.0
94,200th/a,5,0.5,0,16202230,Goodreads,0.0,0.0
95,20th/a,1,-0.5,24,3419923,Goodreads,7.01770186054e-06,0.181552672266
96,20th/a,2,-0.25,28,3912625,Goodreads,7.15632088432e-06,0.185138839746
97,20th/a,3,0.0,49,6011388,Goodreads,8.15119569723e-06,0.210876921022
98,20th/a,4,0.25,67,10187257,Goodreads,6.57684399245e-06,0.170147382382
99,20th/a,5,0.5,158,16202230,Goodreads,9.75174405005e-06,0.252284184584
100,21st/a,1,-0.5,11,3419923,Goodreads,3.21644668608e-06,0.213307652891
101,21st/a,2,-0.25,16,3912625,Goodreads,4.08932621961e-06,0.271195099109
102,21st/a,3,0.0,17,6011388,Goodreads,2.82796585414e-06,0.187544460604
103,21st/a,4,0.25,29,10187257,Goodreads,2.84669366837e-06,0.188786447955
104,21st/a,5,0.5,34,16202230,Goodreads,2.09847656773e-06,0.139166339441
105,22nd/a,1,-0.5,0,3419923,Goodreads,0.0,0.0
106,22nd/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
107,22nd/a,3,0.0,1,6011388,Goodreads,1.66350932597e-07,0.729382759711
108,22nd/a,4,0.25,0,10187257,Goodreads,0.0,0.0
109,22nd/a,5,0.5,1,16202230,Goodreads,6.17198990509e-08,0.270617240289
110,23rd/a,1,-0.5,1,3419923,Goodreads,2.92404244189e-07,0.44636494014
111,23rd/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
112,23rd/a,3,0.0,1,6011388,Goodreads,1.66350932597e-07,0.253940308824
113,23rd/a,4,0.25,2,10187257,Goodreads,1.96323701267e-07,0.299694751036
114,23rd/a,5,0.5,0,16202230,Goodreads,0.0,0.0
115,24th/a,1,-0.5,1,3419923,Goodreads,2.92404244189e-07,0.56887333047
116,24th/a,2,-0.25,0,3912625,Goodreads,0.0,0.0
117,24th/a,3,0.0,0,6011388,Goodreads,0.0,0.0
118,24th/a,4,0.25,1,10187257,Goodreads,9.81618506336e-08,0.190974173613
119,24th/a,5,0.5,2,16202230,Goodreads,1.23439798102e-07,0.240152495917
120,25th/a,1,-0.5,1,3419923,Goodreads,2.92404244189e-07,0.174712747228
121,25th/a,2,-0.25,1,3912625,Goodreads,2.55582888726e-07,0.152711834801
122,25th/a,3,0.0,1,6011388,Goodreads,1.66350932597e-07,0.0993953713582
123,25th/a,4,0.25,6,10187257,Goodreads,5.88971103802e-07,0.351912674416
