Word,ExpectedRate,avg
adverbial,2,2
adverbially,2,2
adverse,2.838882159,2.838882159
adversely,3.559980897,3.559980897
advertently,4,4
advertised,2.535814641,2.535814641
advisable,2.405336226,2.405336226
advisory,3.227825753,3.227825753
aerial,2.697322922,2.697322922
aerobic,5,5
aeronautical,3.371104373,3.371104373
aesthetic,2.83622789,2.83622789
aesthetical,3,3
aesthetically,2.848224599,2.848224599
afar,2.567114235,2.567114235
affable,3.227825753,3.227825753
affected,2.952407775,2.952407775
affectionate,2.951594068,2.951594068
affectionately,3.326099916,3.326099916
affective,4.184873812,4.184873812
affiliated,3,3
affirmative,3.818375464,3.818375464
affirmatively,1,1
affluent,3.18830262,3.18830262
affordable,4.557034656,4.557034656
afghan,3.766155835,3.766155835
afghani,3.374267097,3.374267097
afield,1.753996714,1.753996714
aflame,1,1
afoot,2.630237945,2.630237945
aforementioned,2.243181123,2.243181123
aforesaid,2,2
afraid,3.008067565,3.008067565
african-american,3.029341361,3.029341361
african,3.350369034,3.350369034
after a fashion,2,2
after all,2.638367419,2.638367419
after hours,2.583542611,2.583542611
after-school,1.968703844,1.968703844
after,5,3.822199833
afterward,2.939239535,2.939239535
afterwards,2.974460913,2.974460913
again and again,3.85107426,3.85107426
again,3.072048004,3.072048004
against the clock,5,5
against the wind,4.386034674,4.386034674
against time,3.743757839,3.743757839
agape,5,5
age-old,2.871661765,2.871661765
ageing,2.15789642,2.15789642
ageless,3.578048669,3.578048669
aggravating,2.210802312,2.210802312
aggravatingly,2.292180619,2.292180619
aggregate,2,2
aggressive,2.974922021,2.974922021
aggressively,2.218399221,2.218399221
aghast,2.818688716,2.818688716
agile,2.962842436,2.962842436
agitating,1.466403084,1.466403084
agnostic,3.443104467,3.443104467
ago,3.181402108,3.181402108
agog,3,3
agonising,3.679274827,3.679274827
agonized,3.541234481,3.541234481
agonizing,2.379904404,2.379904404
agonizingly,2.086813798,2.086813798
agoraphobic,2.041031688,2.041031688
agrarian,1.753996714,1.753996714
agreeable,2.706220655,2.706220655
agreeably,3.753458102,3.753458102
agreed upon,2.344043317,2.344043317
agricultural,2.735646024,2.735646024
aground,3,3
ahead of the game,3.541321843,3.541321843
ahead of time,2.891596092,2.891596092
ahead,2.7265705,2.7265705
ahistorical,2,2
ailing,2.292180619,2.292180619
aimless,2.199266181,2.199266181
aimlessly,2.430969987,2.430969987
air sick,2,2
air-conditioned,3,3
air-tight,4.29536327,4.29536327
airborne,5,5
airheaded,4,4
airless,4.386034674,4.386034674
airtight,2,2
airy,2.840154371,2.840154371
ajar,5,5
akin,2.76767208,2.76767208
al dente,3,3
alarmed,1.697155506,1.697155506
alarming,2.477439417,2.477439417
alarmingly,2.73317362,2.73317362
alaskan,4.386034674,4.386034674
alchemical,4.041827698,4.041827698
alcoholic,2.854704369,2.854704369
aleatory,5,5
alert,2.370373657,2.370373657
alertly,1,1
alien,2.717003227,2.717003227
alienating,2.987771544,2.987771544
alike,3.107605735,3.107605735
alive,3.231587249,3.231587249
all along,2.866620098,2.866620098
all at once,3.64785361,3.64785361
all day long,3.804285669,3.804285669
all important,2.870148499,2.870148499
all in all,3.104893019,3.104893019
all in,3.123187909,3.123187909
all of a sudden,2.693001763,2.693001763
all over,2.843298181,2.843298181
all right,2.644568325,2.644568325
all the same,3.073368707,3.073368707
