Word,Rating,Category,Count,Total,Corpus
24th/a,4,0.25,1,10187257,Goodreads
24th/a,5,0.5,2,16202230,Goodreads
25th/a,1,-0.5,1,3419923,Goodreads
25th/a,2,-0.25,1,3912625,Goodreads
25th/a,3,0,1,6011388,Goodreads
25th/a,4,0.25,6,10187257,Goodreads
25th/a,5,0.5,6,16202230,Goodreads
26th/a,1,-0.5,0,3419923,Goodreads
26th/a,2,-0.25,0,3912625,Goodreads
26th/a,3,0,2,6011388,Goodreads
26th/a,4,0.25,2,10187257,Goodreads
26th/a,5,0.5,10,16202230,Goodreads
27th/a,1,-0.5,0,3419923,Goodreads
27th/a,2,-0.25,0,3912625,Goodreads
27th/a,3,0,1,6011388,Goodreads
27th/a,4,0.25,0,10187257,Goodreads
27th/a,5,0.5,5,16202230,Goodreads
28th/a,1,-0.5,1,3419923,Goodreads
28th/a,2,-0.25,0,3912625,Goodreads
28th/a,3,0,0,6011388,Goodreads
28th/a,4,0.25,0,10187257,Goodreads
28th/a,5,0.5,6,16202230,Goodreads
29th/a,1,-0.5,0,3419923,Goodreads
29th/a,2,-0.25,0,3912625,Goodreads
29th/a,3,0,0,6011388,Goodreads
29th/a,4,0.25,0,10187257,Goodreads
29th/a,5,0.5,5,16202230,Goodreads
2d/a,1,-0.5,4,3419923,Goodreads
2d/a,2,-0.25,5,3912625,Goodreads
2d/a,3,0,4,6011388,Goodreads
2d/a,4,0.25,2,10187257,Goodreads
2d/a,5,0.5,2,16202230,Goodreads
2nd/a,1,-0.5,41,3419923,Goodreads
2nd/a,2,-0.25,76,3912625,Goodreads
2nd/a,3,0,204,6011388,Goodreads
2nd/a,4,0.25,308,10187257,Goodreads
2nd/a,5,0.5,483,16202230,Goodreads
3-dimensional/a,1,-0.5,0,3419923,Goodreads
3-dimensional/a,2,-0.25,1,3912625,Goodreads
3-dimensional/a,3,0,3,6011388,Goodreads
3-dimensional/a,4,0.25,2,10187257,Goodreads
3-dimensional/a,5,0.5,3,16202230,Goodreads
300th/a,1,-0.5,0,3419923,Goodreads
300th/a,2,-0.25,1,3912625,Goodreads
300th/a,3,0,0,6011388,Goodreads
300th/a,4,0.25,1,10187257,Goodreads
300th/a,5,0.5,0,16202230,Goodreads
30th/a,1,-0.5,2,3419923,Goodreads
30th/a,2,-0.25,0,3912625,Goodreads
30th/a,3,0,1,6011388,Goodreads
30th/a,4,0.25,3,10187257,Goodreads
30th/a,5,0.5,3,16202230,Goodreads
31st/a,1,-0.5,0,3419923,Goodreads
31st/a,2,-0.25,0,3912625,Goodreads
31st/a,3,0,0,6011388,Goodreads
31st/a,4,0.25,0,10187257,Goodreads
31st/a,5,0.5,1,16202230,Goodreads
34th/a,1,-0.5,0,3419923,Goodreads
34th/a,2,-0.25,0,3912625,Goodreads
34th/a,3,0,1,6011388,Goodreads
34th/a,4,0.25,0,10187257,Goodreads
34th/a,5,0.5,1,16202230,Goodreads
35th/a,1,-0.5,0,3419923,Goodreads
35th/a,2,-0.25,1,3912625,Goodreads
