"Tue Jul 12 14:00:01 +0000 2016","Bad work day? We dont believe in those. Introducing... https://t.co/zBIMfvqJkV https://t.co/d5uYPnc4MW","1","8","752865099191296000","0","0","1","0","0","1","1","0","0","0","0","4","0","2","0","0","0","1","0","0","0","0","0","0","0","0","3","0","1","0","1","0","0","0","0","0","3","0","0","1","0.625","0","5","3.36217","2.72499","0"
"Tue Jul 12 12:00:02 +0000 2016","Use a phone like a traditional PC thanks to @Microsoft Continuum.  #WPC2016 https://t.co/wMFYiFszgG https://t.co/SK0KerHbQG","11","28","752834902169706496","0","1","2","0","0","1","1","0","0","0","0","9","1","6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","4","0","1","0.625","0","6.9952","5.90108","6.51747","0"
"Mon Jul 11 18:00:02 +0000 2016","Gorilla glass, check. 13 Hour Battery, check.  Spill Resistant Keyboard, check. https://t.co/jU0nHjzsbW","5","23","752563110767132673","0","1","0","0","0","0","1","0","0","0","0","10","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","5.67135","0","0","-2","0","0","0","-0.232418"
"Mon Jul 11 17:00:02 +0000 2016","We're glad to be of service. #WPC2016 https://t.co/Ulj9nXRACD","6","14","752548012069687296","0","1","0","0","0","1","1","0","0","0","0","3","0","2","0","0","0","1","0","0","0","0","0","0","1","0","2","0","0","0","1","0","0","0","0","0","0","3","0","1","0.75","0","3.62966","3.10712","3.70903","0"
"Mon Jul 11 17:00:02 +0000 2016","We're glad to be of service. #WPC2016 https://t.co/Ulj9nXRACD","6","14","752548012069687296","0","1","0","0","0","1","1","0","0","0","0","3","0","2","0","0","0","1","0","0","0","0","0","0","1","0","2","0","0","0","1","0","0","0","0","0","0","3","0","1","0.75","0","3.62966","3.10712","3.70903","0"
"Mon Jul 11 15:00:03 +0000 2016","Were giving you an inside look at one of the biggest events of the year. Are you ready for #WPC2016? https://t.co/AGsy6nLGk3","5","20","752517816058773504","0","2","3","0","0","4","3","0","1","0","0","5","1","1","0","0","0","2","0","0","0","0","0","0","0","0","3","1","1","0","1","0","0","0","0","0","0","0","0","1","1","0","6.26908","9.75511","12.3418","0"
"Sat Jul 09 15:00:01 +0000 2016",".@SlashGear is intrigued by our H277HU USB-C Monitor. Who can blame them?: https://t.co/TykICl6mYJ https://t.co/m16j3678vK","5","17","751793035462250496","0","0","0","0","0","1","0","0","0","0","1","6","0","6","0","0","0","2","0","0","0","0","0","0","0","0","3","0","0","1","0","1","0","1","0","0","3","-2","0","-1","-1.25","0","3.67927","0","0","0"
"Wed Jul 06 15:19:01 +0000 2016","Take gaming to the next level with the 17 X. https://t.co/llBnH0bQSl https://t.co/SyFw7iEzNx","7","21","750710650993778688","0","1","2","0","0","1","1","0","0","0","0","5","0","3","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","6.14386","0","0.125","-2","4.74014","8.19059","9.9905","-0.31712"
"Wed Jul 06 15:00:01 +0000 2016","A #VR movie theatre is no longer science fiction. @Starbreeze teamed up with @Imax to bring VR to the big sceen: https://t.co/ujX8ocaFXL","8","25","750705868711268352","0","0","2","0","1","1","1","0","0","0","0","9","1","4","0","0","0","0","0","2","0","0","1","0","2","0","3","1","0","0","0","1","0","0","0","0","2","0","0","0","0.25","0","11.563","13.0594","13.2214","0"
"Wed Jul 06 15:00:01 +0000 2016","A #VR movie theatre is no longer science fiction. @Starbreeze teamed up with @Imax to bring VR to the big sceen: https://t.co/ujX8ocaFXL","8","25","750705868711268352","0","0","2","0","1","1","1","0","0","0","0","9","1","4","0","0","0","0","0","2","0","0","1","0","2","0","3","1","0","0","0","1","0","0","0","0","2","0","0","0","0.25","0","11.563","13.0594","13.2214","0"
"Mon Jul 04 15:21:01 +0000 2016","A leaner body with more stamina is easy to achieve when you have a 6th Gen @Intel Core: https://t.co/bEv9DhudSD https://t.co/mDXTWTOKnx","6","22","749986379036319745","0","0","2","0","0","1","4","2","0","0","0","7","0","5","0","0","0","1","0","0","0","0","0","0","1","0","3","0","0","0","1","1","0","0","0","1","5","3","0","1","0","0","10.4488","15.6418","17.2862","0"
"Sat Jul 02 15:00:03 +0000 2016","Productivity, portability and flexibility. Anytime. Anywhere. https://t.co/voYsKY4nC3 https://t.co/XCmMQL6CUu","6","11","749256326065389568","1","0","0","0","0","0","0","0","0","0","0","5","0","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0.125","0","0","0","0","0"
"Sat Jul 02 15:00:03 +0000 2016","Productivity, portability and flexibility. Anytime. Anywhere. https://t.co/voYsKY4nC3 https://t.co/XCmMQL6CUu","6","11","749256326065389568","1","0","0","0","0","0","0","0","0","0","0","5","0","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0.125","0","0","0","0","0"
"Thu Jun 30 15:00:02 +0000 2016","Our core values have never changed. #40thanniversary https://t.co/EaRSxytFIG","7","22","748531545602928640","0","1","0","0","0","0","0","0","0","0","0","3","1","1","0","0","0","1","0","1","0","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","-1.125","0","2.77045","2.73237","2.48482","0"
"Thu Jun 30 15:00:02 +0000 2016","Our core values have never changed. #40thanniversary https://t.co/EaRSxytFIG","7","22","748531545602928640","0","1","0","0","0","0","0","0","0","0","0","3","1","1","0","0","0","1","0","1","0","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","-1.125","0","2.77045","2.73237","2.48482","0"
"Mon Jun 27 15:00:01 +0000 2016",".@Techcrunch lays out what will set you apart from the cycling competition. https://t.co/07TypVKBJy https://t.co/3XfQkcJSJZ","5","19","747444378063495169","0","0","1","0","0","2","0","0","0","0","1","5","0","3","0","0","0","1","0","1","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0.25","0","10.8577","12.3292","10.18","0"
"Mon Jun 27 15:00:01 +0000 2016",".@Techcrunch lays out what will set you apart from the cycling competition. https://t.co/07TypVKBJy https://t.co/3XfQkcJSJZ","5","19","747444378063495169","0","0","1","0","0","2","0","0","0","0","1","5","0","3","0","0","0","1","0","1","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0.25","0","10.8577","12.3292","10.18","0"
"Sat Jun 25 15:00:01 +0000 2016","Something this cool can only be powered by @Intel. https://t.co/myP9m8FMWf","6","20","746719604496539648","0","0","1","0","0","1","0","0","0","0","1","4","0","1","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","2","1","0","1","-0.125","0","10.2398","8.15149","9.06544","0"
