status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
22707976849_10153604285631850,Be sure to tune in at 12 PST on 7/2 for the US broadcast of @RedBullXFighters with an exciting look at #Intel tech in action!,,video,https://www.facebook.com/Intel/videos/10153604285631850/,2016-07-01 16:44:34,127,9,26,126,1,0,0,0,0
22707976849_10153604128616850,"Benchmarks will be broken on a new Expert Mode: Rig Wars! Three master modders have 30 minutes to overclock an Intel Core i7 – but when the pressure's on, who will rise up and who will burn out? Find out now: http://intel.ly/298B8DK",Expert Mode: Rig Wars!,video,https://www.facebook.com/Intel/videos/10153604128616850/,2016-07-01 15:00:34,146,7,14,141,1,4,0,0,0
22707976849_10153603970386850,It's all about speed on today's Expert Mode: Rig Wars! Watch as three master modders use extreme overclocking to push an Intel Core i7 CPU to the limit: http://bit.ly/29mpH9m,Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153603966771850/?type=3,2016-07-01 13:25:21,78,4,7,75,2,1,0,0,0
22707976849_10153601745206850,"The world's first deep sea mining project could lead to new mineral sources, but can modern technology and regulations mitigate environmental risks? http://intel.ly/295s4zz",Timeline Photos,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153601745206850/?type=3,2016-06-30 11:00:23,127,6,14,122,3,1,1,0,0
22707976849_10153600046071850,We had just as much fun behind the scenes at Red Bull X-Fighters as we did at the event. Check out these shots featuring #Intel tech in action!,Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153600042651850/?type=3,2016-06-29 13:41:01,17697,64,527,17390,189,104,12,2,0
22707976849_10153600006251850,We're still pumped from bringing #Intel tech to Red Bull X-Fighters last weekend. Check out this great clip!,,video,https://www.facebook.com/Intel/videos/10153600006251850/,2016-06-29 13:23:06,19680,453,5869,19007,280,362,22,4,5
22707976849_10153599787421850,These tech-savvy women march to the beat of their own drums – learn how they're inspiring revolution at music fests everywhere: http://intel.ly/292ZONY,Timeline Photos,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153599787421850/?type=3,2016-06-29 11:00:13,149,5,7,144,4,1,0,0,0
22707976849_10153598011881850,"With #Intel tech installed, we can bring real-time data to Red Bull X-Fighters riders, giving them stats like speed, height, and rotation!",Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153598009566850/?type=3,2016-06-28 14:56:53,17433,44,531,17194,196,38,5,0,0
22707976849_10153596083936850,"Feel like you're part of the action with these behind the scenes shots from Redbull X Fighters, featuring #Intel tech.",Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153596080291850/?type=3,2016-06-27 15:10:24,9472,23,322,9318,111,39,3,0,1
22707976849_10153595710946850,"Check out the winning run from Red Bull X-Fighters in Madrid, featuring #Intel tech giving audiences and athletes real-time performance feedback!",,video,https://www.facebook.com/Intel/videos/10153595710946850/,2016-06-27 11:27:30,23346,2199,20945,22056,392,872,18,4,4
22707976849_10153593888266850,#Intel tech meets action sports at this year's Red Bull X-Fighters! We had a great time bringing real-time performance data to the crowd!,,video,https://www.facebook.com/Intel/videos/10153593888266850/,2016-06-26 12:34:05,3892,81,1105,3664,60,160,6,0,2
22707976849_10153591635026850,"#Intel tech, Red Bull X-Fighters, and awesome athletes. Check out a behind the scenes look at how we brought real-time data to action sports.",Photos from Intel's post,photo,https://www.facebook.com/Intel/photos/a.59511371849.82597.22707976849/10153591631001850/?type=3,2016-06-25 11:37:20,2718,19,38,2691,17,9,0,0,1
